	rsid	REGION	CHR_POS	P_VALUE	MAPPED_GENE
14663	rs705705	12q13.2	56041720	3.9999999999999997e-32	RPS26
14664	rs653178	12q24.12	111569952	2e-44	ATXN2
14665	rs9585056	13q32.3	99429512	3e-08	CCR12P - TM9SF2
14666	rs1456988	14q32.2	98021670	3e-08	LINC01550 - NA
14667	rs56994090	14q32.2	100840110	1e-11	MEG3
14668	rs72727394	15q14	38554821	4e-10	RASGRP1
14669	rs34593439	15q25.1	78942615	9e-14	CTSH
14670	rs151234	16p12.1	28494339	5e-11	CLN3
14671	rs12927355	16p13.13	11100914	3e-22	CLEC16A
14672	rs193778	16p13.13	11257354	4e-10	RMI2
14673	rs8056814	16q23.1	75218429	3e-19	CTRB2 - CTRB1
14674	rs12453507	17q21.1	39896954	1e-08	ZPBP2 - GSDMB
14675	rs757411	17q21.2	40618898	1e-07	CCR7 - SMARCE1
14676	rs1052553	17q21.31	45996523	8e-08	MAPT, MAPT, MAPT
14678	rs12971201	18p11.21	12830539	2e-06	PTPN2
14679	rs1615504	18q22.2	69859408	2e-11	CD226
14680	rs34536443	19p13.2	10352442	4e-15	TYK2
14681	rs12720356	19p13.2	10359299	4e-07	TYK2
14682	rs402072	19q13.32	46715865	5e-08	PRKD2
14683	rs516246	19q13.33	48702915	5e-14	FUT2
14684	rs6043409	20p13	1635560	3e-10	SIRPG-AS1, SIRPG
14685	rs11203202	21q22.3	42405248	1e-15	UBASH3A
14686	rs6518350	21q22.3	44201934	1e-07	GATD3A
14687	rs4820830	22q12.2	30135102	1e-12	HORMAD2
14689	rs6691977	1q32.1	200845831	4e-08	CAMSAP2
14690	rs3024505	1q32.1	206766559	6e-08	Y_RNA - IL10
14691	rs13415583	2q11.2	100147625	1e-07	AFF3
14692	rs4849135	2q13	110857502	4e-08	ACOXL
14693	rs2111485	2q24.2	162254026	4e-18	FAP - IFIH1
14694	rs35667974	2q24.2	162268127	9e-09	IFIH1
14695	rs72871627	2q24.2	162280432	2e-06	IFIH1
14697	rs113010081	3p21.31	46415921	5e-08	CCRL2 - LINC02009
14698	rs75793288	4q27	122322441	6e-13	KIAA1109
14699	rs2611215	4q32.3	165653115	2e-11	NA - LINC01179
14700	rs11954020	5p13.2	35883149	4e-08	IL7R - CAPSL
14701	rs72928038	6q15	90267049	6e-14	BACH2
14702	rs1538171	6q22.32	126431738	7e-10	CENPW - MIR588
14703	rs62447205	7p12.2	50398132	3e-08	IKZF1
14704	rs10277986	7p12.1	50961290	1e-07	NA - COBL
14705	rs6476839	9p24.2	4290823	1e-09	GLIS3
14706	rs61839660	10p15.1	6052734	3e-39	IL2RA
14707	rs10795791	10p15.1	6066377	6e-11	IL2RA - RPL32P23
14708	rs41295121	10p15.1	6087680	5e-08	RPL32P23 - RBM17
14709	rs12416116	10q23.31	88275897	4e-15	RNLS
14710	rs689	11p15.5	2160994	1e-100	INS-IGF2, INS
14711	rs72853903	11p15.5	2177435	6e-10	MIR4686 - ASCL2
14712	rs917911	12p13.31	9753255	2e-07	CD69
